Symbol	EntrezID	Family	Species	Protein_have_DBD
AFF1	4299	AF-4	Homo sapiens	AF4/FMR2 family member 1 (AFF1)
AFF2	2334	AF-4	Homo sapiens	AF4/FMR2 family member 2 (AFF2)
AFF3	3899	AF-4	Homo sapiens	AF4/FMR2 family member 3 (AFF3)
AFF4	27125	AF-4	Homo sapiens	AF4/FMR2 family member 4 (AFF4)
TFAP2A	7020	AP-2	Homo sapiens	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha) (TFAP2A)
TFAP2B	7021	AP-2	Homo sapiens	transcription factor AP-2 beta (activating enhancer binding protein 2 beta) (TFAP2B)
TFAP2C	7022	AP-2	Homo sapiens	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) (TFAP2C)
TFAP2D	83741	AP-2	Homo sapiens	transcription factor AP-2 delta (activating enhancer binding protein 2 delta) (TFAP2D)
TFAP2E	339488	AP-2	Homo sapiens	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon) (TFAP2E)
ARID1A	8289	ARID	Homo sapiens	AT-rich interaction domain 1A (ARID1A)
ARID1B	57492	ARID	Homo sapiens	AT-rich interaction domain 1B (ARID1B)
ARID2	196528	ARID	Homo sapiens	AT-rich interaction domain 2 (ARID2)
ARID3A	1820	ARID	Homo sapiens	AT-rich interaction domain 3A (ARID3A)
ARID3B	10620	ARID	Homo sapiens	AT-rich interaction domain 3B (ARID3B)
ARID3C	138715	ARID	Homo sapiens	AT-rich interaction domain 3C (ARID3C)
ARID4A	5926	ARID	Homo sapiens	AT-rich interaction domain 4A (ARID4A)
ARID4B	51742	ARID	Homo sapiens	AT-rich interaction domain 4B (ARID4B)
ARID5A	10865	ARID	Homo sapiens	AT-rich interaction domain 5A (ARID5A)
ARID5B	84159	ARID	Homo sapiens	AT-rich interaction domain 5B (ARID5B)
JARID2	3720	ARID	Homo sapiens	jumonji and AT-rich interaction domain containing 2 (JARID2)
KDM5A	5927	ARID	Homo sapiens	lysine demethylase 5A (KDM5A)
KDM5B	10765	ARID	Homo sapiens	lysine demethylase 5B (KDM5B)
KDM5C	8242	ARID	Homo sapiens	lysine demethylase 5C (KDM5C)
KDM5D	8284	ARID	Homo sapiens	lysine demethylase 5D (KDM5D)
AHR	196	bHLH	Homo sapiens	aryl hydrocarbon receptor (AHR)
ARNT	405	bHLH	Homo sapiens	aryl hydrocarbon receptor nuclear translocator (ARNT)
ARNT2	9915	bHLH	Homo sapiens	aryl hydrocarbon receptor nuclear translocator 2 (ARNT2)
ARNTL	406	bHLH	Homo sapiens	aryl hydrocarbon receptor nuclear translocator like (ARNTL)
ARNTL2	56938	bHLH	Homo sapiens	aryl hydrocarbon receptor nuclear translocator like 2 (ARNTL2)
ASCL1	429	bHLH	Homo sapiens	achaete-scute family bHLH transcription factor 1 (ASCL1)
ASCL2	430	bHLH	Homo sapiens	achaete-scute family bHLH transcription factor 2 (ASCL2)
ASCL3	56676	bHLH	Homo sapiens	achaete-scute family bHLH transcription factor 3 (ASCL3)
ASCL4	121549	bHLH	Homo sapiens	achaete-scute family bHLH transcription factor 4 (ASCL4)
ASCL5	647219	bHLH	Homo sapiens	achaete-scute family bHLH transcription factor 5 (ASCL5)
ATOH1	474	bHLH	Homo sapiens	atonal bHLH transcription factor 1 (ATOH1)
ATOH7	220202	bHLH	Homo sapiens	atonal bHLH transcription factor 7 (ATOH7)
ATOH8	84913	bHLH	Homo sapiens	atonal bHLH transcription factor 8 (ATOH8)
BHLHA15	168620	bHLH	Homo sapiens	basic helix-loop-helix family member a15 (BHLHA15)
BHLHA9	727857	bHLH	Homo sapiens	basic helix-loop-helix family member a9 (BHLHA9)
BHLHE22	27319	bHLH	Homo sapiens	basic helix-loop-helix family member e22 (BHLHE22)
BHLHE23	128408	bHLH	Homo sapiens	basic helix-loop-helix family member e23 (BHLHE23)
BHLHE40	8553	bHLH	Homo sapiens	basic helix-loop-helix family member e40 (BHLHE40)
BHLHE41	79365	bHLH	Homo sapiens	basic helix-loop-helix family member e41 (BHLHE41)
CCDC169-SOHLH2	100526761	bHLH	Homo sapiens	CCDC169-SOHLH2 readthrough (CCDC169-SOHLH2)
CLOCK	9575	bHLH	Homo sapiens	clock circadian regulator (CLOCK)
FERD3L	222894	bHLH	Homo sapiens	Fer3-like bHLH transcription factor (FERD3L)
FIGLA	344018	bHLH	Homo sapiens	folliculogenesis specific bHLH transcription factor (FIGLA)
HAND1	9421	bHLH	Homo sapiens	heart and neural crest derivatives expressed 1 (HAND1)
HAND2	9464	bHLH	Homo sapiens	heart and neural crest derivatives expressed 2 (HAND2)
HELT	391723	bHLH	Homo sapiens	helt bHLH transcription factor (HELT)
HES1	3280	bHLH	Homo sapiens	hes family bHLH transcription factor 1 (HES1)
HES2	54626	bHLH	Homo sapiens	hes family bHLH transcription factor 2 (HES2)
HES3	390992	bHLH	Homo sapiens	hes family bHLH transcription factor 3 (HES3)
HES4	57801	bHLH	Homo sapiens	hes family bHLH transcription factor 4 (HES4)
HES5	388585	bHLH	Homo sapiens	hes family bHLH transcription factor 5 (HES5)
HES6	55502	bHLH	Homo sapiens	hes family bHLH transcription factor 6 (HES6)
HES7	84667	bHLH	Homo sapiens	hes family bHLH transcription factor 7 (HES7)
HEY1	23462	bHLH	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 1 (HEY1)
HEY2	23493	bHLH	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 2 (HEY2)
HEYL	26508	bHLH	Homo sapiens	hes related family bHLH transcription factor with YRPW motif-like (HEYL)
ID1	3397	bHLH	Homo sapiens	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein (ID1)
ID2	3398	bHLH	Homo sapiens	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein (ID2)
ID3	3399	bHLH	Homo sapiens	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein (ID3)
ID4	3400	bHLH	Homo sapiens	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein (ID4)
LYL1	4066	bHLH	Homo sapiens	lymphoblastic leukemia associated hematopoiesis regulator 1 (LYL1)
MAX	4149	bHLH	Homo sapiens	MYC associated factor X (MAX)
MESP1	55897	bHLH	Homo sapiens	mesoderm posterior bHLH transcription factor 1 (MESP1)
MESP2	145873	bHLH	Homo sapiens	mesoderm posterior bHLH transcription factor 2 (MESP2)
MITF	4286	bHLH	Homo sapiens	microphthalmia-associated transcription factor (MITF)
MLX	6945	bHLH	Homo sapiens	MLX, MAX dimerization protein (MLX)
MLXIP	22877	bHLH	Homo sapiens	MLX interacting protein (MLXIP)
MLXIPL	51085	bHLH	Homo sapiens	MLX interacting protein-like (MLXIPL)
MNT	4335	bHLH	Homo sapiens	MAX network transcriptional repressor (MNT)
MSC	9242	bHLH	Homo sapiens	musculin (MSC)
MSGN1	343930	bHLH	Homo sapiens	mesogenin 1 (MSGN1)
MXD1	4084	bHLH	Homo sapiens	MAX dimerization protein 1 (MXD1)
MXD3	83463	bHLH	Homo sapiens	MAX dimerization protein 3 (MXD3)
MXD4	10608	bHLH	Homo sapiens	MAX dimerization protein 4 (MXD4)
MXI1	4601	bHLH	Homo sapiens	MAX interactor 1, dimerization protein (MXI1)
MYC	4609	bHLH	Homo sapiens	v-myc avian myelocytomatosis viral oncogene homolog (MYC)
MYCL	4610	bHLH	Homo sapiens	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog (MYCL)
MYCN	4613	bHLH	Homo sapiens	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog (MYCN)
MYF5	4617	bHLH	Homo sapiens	myogenic factor 5 (MYF5)
MYF6	4618	bHLH	Homo sapiens	myogenic factor 6 (MYF6)
MYOD1	4654	bHLH	Homo sapiens	myogenic differentiation 1 (MYOD1)
MYOG	4656	bHLH	Homo sapiens	myogenin (myogenic factor 4) (MYOG)
